"","fsa","prop_ps","med_income","totaldwell","totalpop","employment_rate","prop_age_under18","prop_age_18to64","prop_age_over65","prop_fam_children","avg_familysize","prop_fam_single","area_in_square_meter","popdensity_km","dwelldensity_km","denom_25yrs","denom_totalpop","denom_econofam","denom_totaldwell","prop_immig"
"1","H2P",0.762458471760797,60685,7135,13860,65,0.154040404040404,0.748196248196248,0.0974025974025974,0.355072463768116,3,0.16231884057971,1499602.51318855,9242.44916776644,4757.92747561425,9030,13860,3450,7135,0.254689754689755
"2","H1X",0.69736118746564,54379,15910,29330,59,0.155472212751449,0.703545857483805,0.141152403682237,0.350344827586207,3,0.21448275862069,4332061.58165176,6770.44853753369,3672.61630522199,18190,29330,7250,15910,0.25127855438118
"3","H2A",0.57190635451505,50890,8230,18585,51,0.197471078827011,0.653753026634383,0.148775894538606,0.427979274611399,3,0.243523316062176,1992540.1131531,9327.29026498248,4130.40618137239,10465,18585,4825,8230,0.45682001614205
"4","H3G",0.889212827988338,83848,4020,6860,47,0.064868804664723,0.696064139941691,0.239067055393586,0.288025889967638,3,0.0647249190938511,691504.503714713,9920.3981509138,5813.41116132266,3430,6860,1545,4020,0.402332361516035
"5","H3K",0.640069889341875,54073,7000,13775,55,0.177132486388385,0.727404718693285,0.0954627949183303,0.316023738872404,3,0.262611275964392,4006487.70640917,3438.17353488048,1747.16622462166,8585,13775,3370,7000,0.199637023593466
"6","H4B",0.791351805205709,50785,10110,20015,56,0.188358730951786,0.687734199350487,0.124156882338246,0.435175879396985,3,0.223115577889447,3870197.63068029,5171.57052687303,2612.26969906002,11910,20015,4975,10110,0.451661254059455
"7","H7A",0.621698113207547,74974,6520,18980,66,0.253424657534247,0.650684931506849,0.0958904109589041,0.524074074074074,3,0.153703703703704,26730023.329592,710.06297921887,243.920475474554,10600,18980,5400,6520,0.221285563751317
"8","H7J",0.738775510204082,83253,845,2110,72,0.21563981042654,0.654028436018957,0.130331753554502,0.369230769230769,3,0.138461538461538,31723891.5599093,66.5113860957238,26.6360764222211,1225,2110,650,845,0.0876777251184834
"9","H7K",0.702390766694147,88037,7745,21650,66,0.225173210161663,0.667898383371825,0.106928406466513,0.534645669291339,3,0.137007874015748,7135328.02457417,3034.19827728131,1085.44414122604,12130,21650,6350,7745,0.187759815242494
"10","H7M",0.686014935505771,75112,10875,27035,59,0.186794895505826,0.647678934714259,0.165156278897725,0.465938303341902,3,0.152956298200514,11415075.267536,2368.35932890311,952.687542142456,14730,27035,7780,10875,0.228037728869983
"11","H7P",0.658916849015317,79775,12030,32965,66,0.227665706051873,0.650386773851054,0.121947520097073,0.497942386831276,3,0.138888888888889,17843335.6189724,1847.46847248388,674.201296040681,18280,32965,9720,12030,0.19899893826786
"12","H7S",0.640362225097025,62374,3080,7255,57,0.221226740179187,0.623707787732598,0.155065472088215,0.417283950617284,3,0.185185185185185,3973381.24337138,1825.90080227091,775.158438455466,3865,7255,2025,3080,0.299793246037216
"13","H8P",0.632644453816955,63011,10265,21370,54,0.170098268600842,0.62962096396818,0.200514740290126,0.39778534923339,3,0.18824531516184,7573114.14262065,2821.82462822421,1355.45296250451,11855,21370,5870,10265,0.229293401965372
"14","H8R",0.592069690597777,52036,12890,29325,54,0.21227621483376,0.655583972719523,0.13231031543052,0.41776110068793,3,0.24953095684803,16236148.7010226,1806.15492873338,793.907486150836,16645,29325,7995,12890,0.358056265984655
"15","H9E",0.688524590163934,90746,1060,2700,63,0.194444444444444,0.668518518518519,0.137037037037037,0.465408805031447,3,0.0943396226415094,13366163.3048071,202.002619482358,79.3047320930739,1525,2700,795,1060,0.194444444444444
