"","ageCat","sex","fsa","giGlobalRate","denomCount","giExpectedCount","giCount"
"1","+ 85","F","H1A",0.0636027689585177,245,15.5826783948368,23
"2","+ 85","F","H1B",0.0636027689585177,95,6.04226305105918,7
"3","+ 85","F","H1C",0.0636027689585177,25,1.59006922396294,0
"4","+ 85","F","H1E",0.0636027689585177,250,15.9006922396294,11
"5","+ 85","F","H1G",0.0636027689585177,565,35.9355644615625,47
"6","+ 85","F","H1H",0.0636027689585177,675,42.9318690469994,33
"7","+ 85","F","H1J",0.0636027689585177,25,1.59006922396294,3
"8","+ 85","F","H1K",0.0636027689585177,235,14.9466507052517,10
"9","+ 85","F","H1L",0.0636027689585177,265,16.8547337740072,19
"10","+ 85","F","H1M",0.0636027689585177,165,10.4944568781554,24
"11","+ 85","F","H1N",0.0636027689585177,355,22.5789829802738,15
"12","+ 85","F","H1P",0.0636027689585177,115,7.31431843022953,14
"13","+ 85","F","H1R",0.0636027689585177,135,8.58637380939989,14
"14","+ 85","F","H1S",0.0636027689585177,210,13.3565814812887,15
"15","+ 85","F","H1T",0.0636027689585177,505,32.1193983240514,20
"16","+ 85","F","H1V",0.0636027689585177,240,15.2646645500442,7
"17","+ 85","F","H1W",0.0636027689585177,260,16.5367199292146,12
"18","+ 85","F","H1X",0.0636027689585177,250,15.9006922396294,9
"19","+ 85","F","H1Y",0.0636027689585177,225,14.3106230156665,18
"20","+ 85","F","H1Z",0.0636027689585177,190,12.0845261021184,10
"21","+ 85","F","H2A",0.0636027689585177,140,8.90438765419247,9
"22","+ 85","F","H2B",0.0636027689585177,170,10.812470722948,7
"23","+ 85","F","H2C",0.0636027689585177,335,21.3069276011034,12
"24","+ 85","F","H2E",0.0636027689585177,230,14.6286368604591,17
"25","+ 85","F","H2G",0.0636027689585177,180,11.4484984125332,5
"26","+ 85","F","H2H",0.0636027689585177,210,13.3565814812887,1
"27","+ 85","F","H2J",0.0636027689585177,105,6.67829074064436,7
"28","+ 85","F","H2K",0.0636027689585177,280,17.8087753083849,13
"29","+ 85","F","H2L",0.0636027689585177,285,18.1267891531775,15
"30","+ 85","F","H2M",0.0636027689585177,190,12.0845261021184,5
"31","+ 85","F","H2N",0.0636027689585177,55,3.49815229271847,9
"32","+ 85","F","H2P",0.0636027689585177,100,6.36027689585177,18
"33","+ 85","F","H2R",0.0636027689585177,110,6.99630458543694,5
"34","+ 85","F","H2S",0.0636027689585177,215,13.6745953260813,12
"35","+ 85","F","H2T",0.0636027689585177,130,8.2683599646073,14
"36","+ 85","F","H2V",0.0636027689585177,485,30.8473429448811,14
"37","+ 85","F","H2W",0.0636027689585177,50,3.18013844792588,4
"38","+ 85","F","H2X",0.0636027689585177,250,15.9006922396294,9
"39","+ 85","F","H2Y",0.0636027689585177,0,0,0
"40","+ 85","F","H2Z",0.0636027689585177,30,1.90808306875553,6
"41","+ 85","F","H3A",0.0636027689585177,20,1.27205537917035,1
"42","+ 85","F","H3B",0.0636027689585177,0,0,0
"43","+ 85","F","H3C",0.0636027689585177,5,0.318013844792588,0
"44","+ 85","F","H3E",0.0636027689585177,20,1.27205537917035,5
"45","+ 85","F","H3G",0.0636027689585177,55,3.49815229271847,1
"46","+ 85","F","H3H",0.0636027689585177,235,14.9466507052517,13
"47","+ 85","F","H3J",0.0636027689585177,80,5.08822151668141,4
"48","+ 85","F","H3K",0.0636027689585177,70,4.45219382709624,1
"49","+ 85","F","H3L",0.0636027689585177,275,17.4907614635924,15
"50","+ 85","F","H3M",0.0636027689585177,170,10.812470722948,7
"51","+ 85","F","H3N",0.0636027689585177,170,10.812470722948,19
"52","+ 85","F","H3P",0.0636027689585177,195,12.4025399469109,33
"53","+ 85","F","H3R",0.0636027689585177,105,6.67829074064436,6
"54","+ 85","F","H3S",0.0636027689585177,350,22.2609691354812,21
